inference_id,factor_index,obs_id,factor_type,segment_id,keys
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,0,,preserved_non_uwb,,x0
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,1,,preserved_non_uwb,,v0
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,2,,preserved_non_uwb,,b0
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,3,70002,uwb_range,,x0
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,4,70003,uwb_range,,x0
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,5,,preserved_non_uwb,,x1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,6,,preserved_non_uwb,,v1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,7,,preserved_non_uwb,,b1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,8,70006,uwb_range,,x1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,9,70007,uwb_range,,x1
