outer_iteration,conditional_lm_iterations,objective_before,objective_after,allowed_objective_increase,relative_objective_change,max_navigation_scaled_step,max_bias_scaled_step,combined_scaled_step,max_chain_kkt_objective_per_m,max_chain_primal_residual_m,max_chain_dual_residual_objective_per_m,navigation_gradient_objective,navigation_roundoff_allowance_objective,objective_ok,step_ok,chain_optimality_ok,navigation_stationarity_ok,conditional_lm_inner_iterations,conditional_lm_lambda,conditional_lm_initial_error,conditional_lm_check_status,conditional_lm_check_evaluated,conditional_lm_previous_error,conditional_lm_current_error,conditional_lm_relative_tolerance,conditional_lm_absolute_tolerance,conditional_lm_optimizer_internal_relative_tolerance,conditional_lm_optimizer_internal_small_change_stop_enabled,conditional_lm_error_tolerance,conditional_lm_absolute_decrease,conditional_lm_relative_decrease,conditional_lm_relative_decrease_valid,conditional_lm_relative_tolerance_enabled,conditional_lm_decrease_predicates_reached_by_linked_check,conditional_lm_error_tolerance_triggered,conditional_lm_absolute_tolerance_triggered,conditional_lm_relative_tolerance_triggered,conditional_lm_check_result,conditional_lm_predicate_union_matches_check_result,conditional_lm_added_diagnostics_seconds,pre_chain_navigation_stationarity_valid,pre_chain_navigation_stationarity_status,pre_chain_max_pose_rotation_gradient_objective_per_rad,pre_chain_max_pose_translation_gradient_objective_per_m,pre_chain_max_velocity_gradient_objective_per_mps,pre_chain_max_accel_bias_gradient_objective_per_mps2,pre_chain_max_gyro_bias_gradient_objective_per_radps,pre_chain_max_scaled_gradient_objective,pre_chain_roundoff_allowance_objective,pre_chain_navigation_stationarity_ok,post_chain_navigation_stationarity_valid,post_chain_navigation_stationarity_status,post_chain_max_pose_rotation_gradient_objective_per_rad,post_chain_max_pose_translation_gradient_objective_per_m,post_chain_max_velocity_gradient_objective_per_mps,post_chain_max_accel_bias_gradient_objective_per_mps2,post_chain_max_gyro_bias_gradient_objective_per_radps,post_chain_max_scaled_gradient_objective,post_chain_roundoff_allowance_objective,post_chain_navigation_stationarity_ok,stationarity_audits_share_navigation_values,pre_chain_stationarity_seconds,post_chain_stationarity_seconds,added_diagnostics_seconds,conditional_lm_policy_version,conditional_lm_stationarity_qualification_enabled,conditional_lm_convergence_check_count,conditional_lm_generic_convergence_count,conditional_lm_generic_convergence_last_iteration,conditional_lm_qualification_evaluation_count,conditional_lm_qualification_last_evaluated,conditional_lm_qualification_last_passed,conditional_lm_qualification_status,conditional_lm_qualification_last_iteration,conditional_lm_qualification_seconds,conditional_lm_iterate_call_count,conditional_lm_lambda_trial_accounting_status,conditional_lm_lambda_trial_count,conditional_lm_rejected_lambda_trial_count,conditional_lm_accepted_update_count,conditional_lm_no_update_return_count,conditional_lm_qualification_audit_valid,conditional_lm_qualification_audit_status,conditional_lm_qualification_max_pose_rotation_gradient_objective_per_rad,conditional_lm_qualification_max_pose_translation_gradient_objective_per_m,conditional_lm_qualification_max_velocity_gradient_objective_per_mps,conditional_lm_qualification_max_accel_bias_gradient_objective_per_mps2,conditional_lm_qualification_max_gyro_bias_gradient_objective_per_radps,conditional_lm_qualification_max_scaled_gradient_objective,conditional_lm_qualification_roundoff_allowance_objective,conditional_lm_qualification_audit_stationary
1,6,95.290532360694613,1.7378655727261716,1.3541599111120862e-12,0.98176245289355724,1.0791205121210792,0.19474910812621565,1.0791205121210792,9.3464082522673732e-09,4.7102731785727547e-08,5.1161488080184732e-07,7.6108115424982499,9.2126404206325551e-13,0,0,1,0,6,1.0000000000000003e-11,95.290532360694613,EVALUATED_MATCHED_LINKED_GTSAM,1,4.7009135750745834,4.7009127577963827,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,8.172782006710122e-07,1.7385518529939055e-07,1,1,1,0,0,1,1,1,1.3089999999999999e-06,1,NOT_STATIONARY,0.00024850591273659073,0.00094224154305286301,8.4852308669058907e-05,1.8954412259113845e-05,2.6526957749135882e-05,0.00094224154305286301,1.5721511987388604e-12,0,1,NOT_STATIONARY,0.40457016666684509,7.6108115424982499,8.4852308669058907e-05,1.8954412259113845e-05,2.6526957749135882e-05,7.6108115424982499,9.2126404206325551e-13,0,1,0.00033103700000000001,0.00034826600000000002,0.00033234600000000002,GTSAM_CHECK_ONLY_V1,0,6,1,6,0,0,0,NOT_ENABLED,0,0,6,COMPLETE,6,0,6,0,0,,0,0,0,0,0,0,0,0
2,4,1.7378655727261716,0.96326076614793987,2.4696555168562946e-14,0.44572193542168931,0.13604683925262603,0.044393470614476904,0.13604683925262603,9.5733369484698067e-09,7.0014934248014291e-11,1.7971369975052945e-08,1.8214758187186615,6.4220707264310291e-13,0,0,1,0,4,1.0000000000000003e-09,1.5816335202840492,EVALUATED_MATCHED_LINKED_GTSAM,1,0.99889891415300824,0.99889848866880193,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,4.2548420631227657e-07,4.2595321737140483e-07,1,1,1,0,0,1,1,1,7.2499999999999994e-07,1,NOT_STATIONARY,0.0001312485204453262,0.00048337162478045981,9.5337202135392651e-05,1.340938653545537e-05,1.4754623600010675e-05,0.00048337162478045981,6.8976793875261329e-13,0,1,NOT_STATIONARY,0.078492157734214474,1.8214758187186615,9.5337202135392651e-05,1.340938653545537e-05,1.4754623600010675e-05,1.8214758187186615,6.4220707264310291e-13,0,1,0.00022341900000000001,0.00022658500000000001,0.00022414400000000001,GTSAM_CHECK_ONLY_V1,0,4,1,4,0,0,0,NOT_ENABLED,0,0,4,COMPLETE,4,0,4,0,0,,0,0,0,0,0,0,0,0
3,4,0.96326076614793987,0.83291869800730689,1.4210854715202004e-14,0.13034206814063298,0.090020930638532531,0.018942143480646906,0.090020930638532531,9.4933838012956073e-09,3.7631864507975272e-11,1.8637837049689976e-08,0.60288665335125668,6.8599250791032599e-13,0,0,1,0,4,1.0000000000000003e-09,0.76007004920883536,EVALUATED_MATCHED_LINKED_GTSAM,1,0.67838486064993131,0.6783848503248584,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,1.0325072907768629e-08,1.5220081559421331e-08,1,1,1,0,0,1,1,1,5.4799999999999988e-07,1,NOT_STATIONARY,2.3500949528673654e-05,5.3036831513475491e-05,1.532074912385939e-05,2.1240696951724258e-06,2.172447218409812e-06,5.3036831513475491e-05,6.9981938854629148e-13,0,1,NOT_STATIONARY,0.035412498536640739,0.60288665335125668,1.532074912385939e-05,2.1240696951724258e-06,2.172447218409812e-06,0.60288665335125668,6.8599250791032599e-13,0,1,0.00029480199999999999,0.00020752800000000001,0.00029535,GTSAM_CHECK_ONLY_V1,0,4,1,4,0,0,0,NOT_ENABLED,0,0,4,COMPLETE,4,0,4,0,0,,0,0,0,0,0,0,0,0
4,3,0.83291869800730689,0.77928511337763362,1.4210854715202004e-14,0.05363358462967327,0.045912647373163543,0.01392922459305844,0.045912647373163543,9.8062335474041942e-09,4.3167289928614931e-11,1.7335905690208688e-08,0.35314439533076142,6.9346488357422166e-13,0,0,1,0,3,1.0000000000000002e-08,0.60231064593811423,EVALUATED_MATCHED_LINKED_GTSAM,1,0.57040733746865557,0.57040701922454828,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,3.1824410728908958e-07,5.579242874072906e-07,1,1,1,0,0,1,1,1,4.63e-07,1,NOT_STATIONARY,9.5228802386028433e-05,6.3707005592925081e-05,2.9512278941441761e-05,7.3089122051106341e-06,9.8001548670470506e-06,9.5228802386028433e-05,6.9883544804578457e-13,0,1,NOT_STATIONARY,0.025583812809259837,0.35314439533076142,2.9512278941441761e-05,7.3089122051106341e-06,9.8001548670470506e-06,0.35314439533076142,6.9346488357422166e-13,0,1,0.00027691400000000001,0.000158314,0.00027737700000000004,GTSAM_CHECK_ONLY_V1,0,3,1,3,0,0,0,NOT_ENABLED,0,0,3,COMPLETE,3,0,3,0,0,,0,0,0,0,0,0,0,0
5,3,0.77928511337763362,0.75283772996764531,1.4210854715202004e-14,0.026447383409988312,0.028097943727543165,0.011457079661368122,0.028097943727543165,9.8742767211341653e-09,4.7546325598423728e-11,1.8705040944954863e-08,0.24512533190101385,6.975877425990982e-13,0,0,1,0,3,1.0000000000000002e-08,0.53097298485804523,EVALUATED_MATCHED_LINKED_GTSAM,1,0.51568641572210572,0.51568632086638977,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,9.4855715948582997e-08,1.8394069158435825e-07,1,1,1,0,0,1,1,1,5.4700000000000001e-07,1,NOT_STATIONARY,4.4924872119274373e-05,3.9583105794251117e-05,1.1597971235843829e-05,2.87977345404377e-06,3.7947451395903276e-06,4.4924872119274373e-05,6.9787087491431404e-13,0,1,NOT_STATIONARY,0.018861036100698617,0.24512533190101385,1.1597971235843829e-05,2.87977345404377e-06,3.7947451395903276e-06,0.24512533190101385,6.975877425990982e-13,0,1,0.000218617,0.00016336700000000001,0.00021916399999999999,GTSAM_CHECK_ONLY_V1,0,3,1,3,0,0,0,NOT_ENABLED,0,0,3,COMPLETE,3,0,3,0,0,,0,0,0,0,0,0,0,0
6,3,0.75283772996764531,0.73821999281197936,1.4210854715202004e-14,0.014617737155665944,0.018175667356216174,0.010567429212399199,0.018175667356216174,9.6414885354367106e-09,3.6688516981516683e-11,1.7367870426369766e-08,0.18981909787089796,6.9885144063108644e-13,0,0,1,0,3,1.0000000000000002e-08,0.4924108303227368,EVALUATED_MATCHED_LINKED_GTSAM,1,0.48411557211592188,0.48411554026713854,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,3.1848783332844022e-08,6.578756224188923e-08,1,1,1,0,0,1,1,1,5.4499999999999997e-07,1,NOT_STATIONARY,1.9688853751885504e-05,2.6062240137902926e-05,5.2886805007451576e-06,1.2596324859464117e-06,1.7019254630601388e-06,2.6062240137902926e-05,6.9872420053574705e-13,0,1,NOT_STATIONARY,0.01309311863830552,0.18981909787089796,5.2886805007451576e-06,1.2596324859464117e-06,1.7019254630601388e-06,0.18981909787089796,6.9885144063108644e-13,0,1,0.00037521199999999998,0.00033509000000000002,0.000375757,GTSAM_CHECK_ONLY_V1,0,3,1,3,0,0,0,NOT_ENABLED,0,0,3,COMPLETE,3,0,3,0,0,,0,0,0,0,0,0,0,0
7,3,0.73821999281197936,0.72949061260197301,1.4210854715202004e-14,0.0087293802100063544,0.016367245161916344,0.0092981672153689965,0.016367245161916344,9.5247001397069653e-09,2.8919483652648764e-11,1.6805665199506065e-08,0.15732575687119391,6.9934134615067756e-13,0,0,1,0,3,1.0000000000000002e-08,0.46878834287185667,EVALUATED_MATCHED_LINKED_GTSAM,1,0.46389584427778674,0.46389583000238888,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,1.4275397863805495e-08,3.0772851362852916e-08,1,1,1,0,0,1,1,1,5.3799999999999997e-07,1,NOT_STATIONARY,1.2783586856052187e-05,1.755802562525971e-05,3.5205741714672278e-06,6.0503980082874179e-07,8.0757634624006869e-07,1.755802562525971e-05,6.9932873223179643e-13,0,1,NOT_STATIONARY,0.0098251102034086386,0.15732575687119391,3.5205741714672278e-06,6.0503980082874179e-07,8.0757634624006869e-07,0.15732575687119391,6.9934134615067756e-13,0,1,0.00026877900000000002,0.00035130200000000001,0.00026931700000000004,GTSAM_CHECK_ONLY_V1,0,3,1,3,0,0,0,NOT_ENABLED,0,0,3,COMPLETE,3,0,3,0,0,,0,0,0,0,0,0,0,0
8,3,0.72949061260197301,0.72402257744222898,1.4210854715202004e-14,0.0054680351597440335,0.014092325388878751,0.0080381013740513374,0.014092325388878751,9.6961921616789404e-09,2.9780626610711116e-11,1.8403928292552095e-08,0.13975386217612468,6.9975025746675417e-13,0,0,1,0,3,1.0000000000000002e-08,0.45342352965983806,EVALUATED_MATCHED_LINKED_GTSAM,1,0.45038964343388604,0.4503896359906292,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,7.4432568442084346e-09,1.6526261100186801e-08,1,1,1,0,1,1,1,1,5.3199999999999995e-07,1,NOT_STATIONARY,9.6970443168031828e-06,1.2378060405472679e-05,2.6943940622525808e-06,3.9030826856634171e-07,4.1330047797355496e-07,1.2378060405472679e-05,6.9973315320527145e-13,0,1,NOT_STATIONARY,0.0078909070372950221,0.13975386217612468,2.6943940622525808e-06,3.9030826856634171e-07,4.1330047797355496e-07,0.13975386217612468,6.9975025746675417e-13,0,1,0.00034944400000000002,0.000278597,0.000349976,GTSAM_CHECK_ONLY_V1,0,3,1,3,0,0,0,NOT_ENABLED,0,0,3,COMPLETE,3,0,3,0,0,,0,0,0,0,0,0,0,0
9,3,0.72402257744222898,0.72027604647442844,1.4210854715202004e-14,0.0037465309678005321,0.012204113283184298,0.0068848172752886128,0.012204113283184298,9.7278136657052983e-09,1.706861930424101e-11,1.6700608157245039e-08,0.12110026379420261,6.9980741739561014e-13,0,0,1,0,3,1.0000000000000002e-08,0.44284070248473556,EVALUATED_MATCHED_LINKED_GTSAM,1,0.44082104812369405,0.44082104368626579,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,4.4374282581749469e-09,1.0066280358123481e-08,1,1,1,0,1,1,1,1,5.4300000000000003e-07,1,NOT_STATIONARY,7.9562558508022851e-06,8.9824994382314838e-06,1.8639663171560183e-06,2.7383858680965489e-07,2.4647880050507331e-07,8.9824994382314838e-06,6.9980023951782344e-13,0,1,NOT_STATIONARY,0.0067218383754049493,0.12110026379420261,1.8639663171560183e-06,2.7383858680965489e-07,2.4647880050507331e-07,0.12110026379420261,6.9980741739561014e-13,0,1,0.00026462399999999998,0.00031898000000000001,0.00026516699999999996,GTSAM_CHECK_ONLY_V1,0,3,1,3,0,0,0,NOT_ENABLED,0,0,3,COMPLETE,3,0,3,0,0,,0,0,0,0,0,0,0,0
10,3,0.72027604647442844,0.71750342105487097,1.4210854715202004e-14,0.0027726254195574729,0.010792375370296342,0.005841453512250544,0.010792375370296342,9.2895679204563208e-09,1.5628237084322819e-11,1.7420389321628496e-08,0.10457842844031823,6.9948412753117552e-13,0,0,1,0,3,1.0000000000000002e-08,0.43514514462128062,EVALUATED_MATCHED_LINKED_GTSAM,1,0.43365951647152989,0.43365951352882642,9.9999999999999995e-07,1e-08,9.9999999999999995e-07,1,0,2.9427034697881993e-09,6.7857463240551076e-09,1,1,1,0,1,1,1,1,5.3900000000000005e-07,1,NOT_STATIONARY,6.7176571866556234e-06,6.6705292783228454e-06,1.2678231600393719e-06,1.9073699858429549e-07,2.1976750901736564e-07,6.7176571866556234e-06,6.9950403890512168e-13,0,1,NOT_STATIONARY,0.0056752086444731634,0.10457842844031823,1.2678231600393719e-06,1.9073699858429549e-07,2.1976750901736564e-07,0.10457842844031823,6.9948412753117552e-13,0,1,0.00025592799999999999,0.00028791999999999999,0.00025646699999999997,GTSAM_CHECK_ONLY_V1,0,3,1,3,0,0,0,NOT_ENABLED,0,0,3,COMPLETE,3,0,3,0,0,,0,0,0,0,0,0,0,0
