obs_id,final_use,reason
17283170967786387160,1,RETAINED
5012273607905299597,1,RETAINED
5012272508393671386,1,RETAINED
236157077573536562,1,RETAINED
236150480503767296,1,RETAINED
236153779038651929,1,RETAINED
236152679527023718,1,RETAINED
1108928918517390119,1,RETAINED
1108925619982505486,1,RETAINED
1108926719494133697,1,RETAINED
1108923420959249064,1,RETAINED
1108924520470877275,1,RETAINED
11006763252999934334,1,RETAINED
11006766551534818967,1,RETAINED
11006765452023190756,1,RETAINED
11006767651046447178,1,RETAINED
17405547901766053692,1,RETAINED
17405546802254425481,1,RETAINED
17405545702742797270,1,RETAINED
17405544603231169059,1,RETAINED
17405543503719540848,1,RETAINED
14726196790221379258,1,RETAINED
9110731786040398661,1,RETAINED
9110724089459001184,1,RETAINED
9110725188970629395,1,RETAINED
9110726288482257606,1,RETAINED
17283177564856156426,1,RETAINED
9110727387993885817,1,RETAINED
17283174266321271793,1,RETAINED
7453391762145042425,1,RETAINED
2913311691351757744,1,RETAINED
17283173166809643582,1,RETAINED
7453392861656670636,1,RETAINED
2913319387933155221,1,RETAINED
7453393961168298847,1,RETAINED
2913318288421527010,1,RETAINED
14726194591198122836,1,RETAINED
5012268110347158542,1,RETAINED
7453395060679927058,1,RETAINED
2913316089398270588,1,RETAINED
14726197889733007469,1,RETAINED
5012270309370414964,1,RETAINED
7453396160191555269,1,RETAINED
14726195690709751047,1,RETAINED
14726192392174866414,1,RETAINED
14950032787998875078,1,RETAINED
14950033887510503289,1,RETAINED
14950030588975618656,1,RETAINED
14950031688487246867,1,RETAINED
14950037186045387922,1,RETAINED
2356421300844356328,1,RETAINED
2356422400355984539,1,RETAINED
2356423499867612750,1,RETAINED
2356424599379240961,1,RETAINED
2356425698890869172,1,RETAINED
