keyframe_id,time,ba_x_mps2,ba_y_mps2,ba_z_mps2,bg_x_radps,bg_y_radps,bg_z_radps
0,1664959681.4310582,6.0691540273180986e-06,-6.9558797483174489e-06,4.4120943264256144e-05,-2.8019191162572356e-06,6.1249829799042009e-06,-1.6795785036959327e-06
1,1664959681.6634033,3.9793402769880539e-06,-2.4638671754581025e-05,0.00024785558459031431,-7.7507323691002016e-06,9.0413483448696887e-06,-3.1222949900213672e-06
2,1664959681.9125128,-1.0919745698574526e-05,-2.9844404123463085e-05,0.0004787736150492626,-1.386051231647875e-05,1.568731350782456e-05,-4.0687419840836584e-06
3,1664959682.1632497,-1.5797939087144132e-05,-3.4375214500174847e-05,0.0007188812961079603,-1.8352054577982023e-05,2.4478068523991967e-05,-4.4146475814510558e-06
4,1664959682.4400816,-1.5936771143683429e-05,-4.0032121418441408e-05,0.00097971018210756271,-2.1691705609253362e-05,3.2311906699339513e-05,-4.5355733909444363e-06
5,1664959682.6911221,-2.3045865770941033e-05,-4.6917004581055666e-05,0.0011986891478958997,-2.3813072080628501e-05,3.8306070114101857e-05,-4.3037107800617933e-06
6,1664959682.9461508,-3.3814803790397582e-05,-5.9143203064699888e-05,0.0013847033673388975,-2.7015810025770253e-05,4.5809491309720312e-05,-4.0276271206784288e-06
7,1664959683.199219,-4.7332183950745417e-05,-6.8649119150140884e-05,0.001521172293937432,-3.2556119130162777e-05,5.65514079438343e-05,-4.3450201874842906e-06
8,1664959683.4822745,-4.4624331051138127e-05,-6.5111564486008494e-05,0.0016142039743547571,-3.7774376926705466e-05,7.0775007990288511e-05,-4.5647825777075941e-06
9,1664959683.7360885,-2.5342901050043323e-05,-6.1502043910083355e-05,0.0016567254253167878,-3.9086665285368596e-05,7.837240876250773e-05,-3.9749805004108703e-06
10,1664959683.9917653,-1.4621037905514703e-05,-6.1710316315345408e-05,0.0016725788806944335,-3.9344051231986171e-05,7.9618439241809966e-05,-3.5040002277788662e-06
11,1664959684.2461708,-1.3113027540570174e-05,-6.1781645335869795e-05,0.0016746171227700808,-3.9452860141270019e-05,7.9321967685867345e-05,-3.4413621669152026e-06
