recording,method,status,failure,exit_code,ATE_RMSE_m,ATE_P95_m,Window_RMSE_m,evaluated_samples,coverage,candidate_observations,candidate_segments,decision_accepted_segments,final_accepted_segments,fallback,range_before_RMSE_m,range_after_RMSE_m,range_count,recovered_range_count,recovered_before_RMSE_m,recovered_after_RMSE_m,window_samples
zigzag_s4,suppress_all,NOT_RUN,PRODUCER_FAILED,,,,,0,0.0,,,,,,,,,,,,
zigzag_s4,lcb_fixed_full,NOT_RUN,PRODUCER_FAILED,,,,,0,0.0,,,,,,,,,,,,
zigzag_s4,robust_cauchy,SUCCESS,BASELINE_FINAL_LM_AND_FACTOR_AUDIT_OK,0,376.2691708030655,726.1955736553548,408.1536829551276,2168,0.9935838680109991,,,,,False,0.3317399172875984,0.3317399172875984,12453,0,,,883
zigzag_s4,SFUISE-ToA,SUCCESS,,0,0.4292469853313196,1.06929003987074,0.5723324906700854,2168,0.9935838680109991,,,,,False,0.3317399172875984,0.3317399172875984,12453,0,,,883
loop-3d_s3,suppress_all,NOT_RUN,PRODUCER_FAILED,,,,,0,0.0,6,2,,,,,,,,,,
loop-3d_s3,lcb_fixed_full,NOT_RUN,PRODUCER_FAILED,,,,,0,0.0,6,2,,,,,,,,,,
loop-3d_s3,robust_cauchy,FAILURE,FINAL_LM_FAILED:CONDITIONAL_LM_MAX_ITERATIONS,1,,,,0,0.0,,,,,,,,,,,,
loop-3d_s3,SFUISE-ToA,SUCCESS,,0,3512.803949076655,6835.720016466501,2794.6892254114396,994,0.9959919839679359,,,,,False,0.32120526904704005,0.32120526904704005,5892,0,,,209
zigzag_s3,suppress_all,NOT_RUN,PRODUCER_FAILED,,,,,0,0.0,0,0,,,,,,,,,,
zigzag_s3,lcb_fixed_full,NOT_RUN,PRODUCER_FAILED,,,,,0,0.0,0,0,,,,,,,,,,
zigzag_s3,robust_cauchy,SUCCESS,BASELINE_FINAL_LM_AND_FACTOR_AUDIT_OK,0,20640.15601209343,39196.16961508504,16049.892081509779,2003,0.994044665012407,,,,,False,0.2825646545392094,0.2825646545392094,11843,0,,,332
zigzag_s3,SFUISE-ToA,SUCCESS,,0,14494.76783333508,32266.012637488813,10778.10175500282,2004,0.9945409429280397,,,,,False,0.2825646545392094,0.2825646545392094,11843,0,,,332
